mapping,frequency,inclusive,exclusive
PTK2<-IGF1R,1.0,,
PTK2<-!PTEN,1.0,,
SMAD4<-!SMAD6,1.0,,
MAPK14<-PTK2,1.0,,
AKT1<-!MAPK14,1.0,,
TSC2<-TP53,1.0,,
LEF1<-SMAD4,1.0,,
PIK3CA<-ERBB3,1.0,,
MAPK1<-MAPK14,1.0,,
MAPK1<-MYC,0.5,,RELA<-AKT1
MYC<-YAP1,1.0,,
MAPK9<-BRAF,1.0,,
ERBB3<-MYC,1.0,,
IGF1R<-!CTNNB1,1.0,,
CREB1<-AKT1,1.0,,
RELA<-AKT1,0.5,,MAPK1<-MYC
RELA<-MAPK9,1.0,,
CTNNB1<-LEF1,1.0,,
TP53<-!BCL2,1.0,,
CASP3<-!RELA,1.0,,
BAK1<-!BCL2,1.0,,
PTEN<-PIK3CA,1.0,,
ARC<-CREB1,1.0,,
BRAF<-MAPK1,1.0,,
BCL2<-RELA,1.0,,
