TR:CASP8,TR:CDK2,TR:DUSP6,TR:EIF2AK2,TR:ERBB2,TR:FN1,TR:HSPB1,TR:ITGAL,TR:KDR,TR:LYN,TR:MDM4,TR:NR4A1,TR:SMAD6,TR:SPP1,TR:STK11,TR:VASP,TR:YAP1,TR:ACTBi,TR:AKT1i,TR:BADi,TR:BAXi,TR:BCL2i,TR:BCL2L11i,TR:BIDi,TR:BIRC2i,TR:BIRC5i,TR:BRAFi,TR:CASP9i,TR:CBLi,TR:CCND1i,TR:CCND3i,TR:CCNE1i,TR:CCNE2i,TR:CDK4i,TR:CDKN1Ai,TR:CDKN2Ai,TR:CREB1i,TR:CTNNA1i,TR:CTNNB1i,TR:EGFRi,TR:EGLN1i,TR:ERBB3i,TR:FOXO3i,TR:GAB2i,TR:HIF1Ai,TR:IGF1Ri,TR:ITGA2i,TR:ITGB3i,TR:KITi,TR:LCKi,TR:LEF1i,TR:MAP2K1i,TR:MAPK1i,TR:MAPK14i,TR:MAPK9i,TR:MDM2i,TR:MTORi,TR:MYCi,TR:PIK3CAi,TR:PRKCAi,TR:CDKN1Bi,TR:PTENi,TR:PTK2i,TR:PTPN11i,TR:RELAi,TR:RPS6KB1i,TR:SFNi,TR:SMAD2i,TR:SMAD3i,TR:SMAD4i,TR:SMAD5i,TR:SOCS2i,TR:SRCi,TR:STAT1i,TR:STAT3i,TR:TP53i,TR:XIAPi,TR:YWHAEi,TR:YWHAZi,DA:ARC,DA:BAK1,DA:BCL2L1,DA:CASP3,DA:CAV1,DA:CCNB1,DA:CD44,DA:CD74,DA:EIF2S1,DA:GAPDH,DA:JUNB,DA:MAPT,DA:MCL1,DA:PDK1,DA:PIM1,DA:PIM2,DA:PPARG,DA:PTGS2,DA:RPS6,DA:SMAD1,DA:STMN1,DA:TSC2,DA:VHL,DV:ARC,DV:BAK1,DV:BCL2L1,DV:CASP3,DV:CAV1,DV:CCNB1,DV:CD44,DV:CD74,DV:EIF2S1,DV:GAPDH,DV:JUNB,DV:MAPT,DV:MCL1,DV:PDK1,DV:PIM1,DV:PIM2,DV:PPARG,DV:PTGS2,DV:RPS6,DV:SMAD1,DV:STMN1,DV:TSC2,DV:VHL,N,"resp,simple"
1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,440466959881811","0,245514936004532","0,31381871562921","0,460368338160358","0,355566937470917","0,24628878983845","0,397089778575835","0,424155169855958","0,312717786691779","0,30141450109317","0,154425025114965","0,400062496341979","0,340115955069326","0,287325612620239","0,328437990779658","0,344468690279188","0,284556484960319","0,457263561666671","0,335559520258187","0,407089186713818","0,386639269105901","0,241433413462289","0,234926417609493",1,CR
1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,270973330387175","0,440041239770747","0,365555418069513","0,307684065732236","0,162752342884493","0,519168939443142","0,323012046163594","0,391388357898217","0,273071133396054","0,332984719333808","0,292458080165737","0,297892361012601","0,178231081278496","0,210169385760588","0,306722629143725","0,455689912479944","0,403464755953343","0,502080443359893","0,326826937659124","0,412488566179796","0,339329800993785","0,277237523636029","0,388846875805551",2,CR
1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,372653709954849","0,305189610092295","0,242518532072283","0,274320261100146","0,400693637869604","0,465502952455606","0,343419309761767","0,367973894177871","0,288318810133253","0,52376964404082","0,325655652575046","0,351108821300709","0,300980549451769","0,460338268388063","0,346854720394198","0,287170625160292","0,316718464085712","0,355875473902339","0,323155396150343","0,256680247132181","0,307067499757897","0,357893083827133","0,279879132041519",4,CR
1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,248055047959509","0,511909821402387","0,394064169793007","0,380555851074502","0,326521565545531","0,271023706920212","0,238819631741537","0,270010712099507","0,327348438958042","0,412249864734249","0,222404218920302","0,214605070609218","0,251533043358885","0,235963565344054","0,496928005009452","0,410716089141135","0,390974426234181","0,258033169902385","0,476626018005669","0,312500133495878","0,376536747737091","0,373356149487279","0,371871707882655",5,CR
0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,250810192588253","0,270679382331778","0,315921569236786","0,280060243214774","0,30433232559959","0,249574510586762","0,436263609709354","0,692956447434603","0,314615627872462","0,545427540509806","0,252967570160629","0,486574568256089","0,320118842210799","0,566767966330857","0,164322453329369","0,256989629975973","0,219433474964166","0,30335696340348","0,411895616459751","0,394932851137398","0,322532654075204","0,285142399232953","0,302361143807303",6,CR
0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,312162394778426","0,298753783570893","0,307883110344235","0,170725322620339","0,248197950822874","0,287747388010341","0,429372776049268","0,587004651800765","0,282779270755338","0,277372263096835","0,230063118563785","0,353455336858839","0,404128495786171","0,258184357036577","0,287469867223449","0,214871409297451","0,245031179166806","0,214626548253415","0,270412372512462","0,45749306251721","0,417784194845993","0,309198962014372","0,276135562969754",8,CR
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,265690542970745","0,385657254695065","0,407940304694903","0,817605956501803","0,286354765478284","0,370021867794471","0,539605999410483","0,31069633161739","0,386891075615162","0,333707612140729","0,143806283520754","0,477654168636539","0,364526539887502","0,454804405358577","0,176474797242446","0,163935346503788","0,163307740261448","0,670178168369938","0,258402042010574","0,338177563811847","0,2342000275395","0,348841542473233","0,354684528769644",9,CR
0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,285045081211783","0,382154242909642","0,281048328468435","0,319883210752313","0,276081376744786","0,447051531976128","0,266912354000662","0,319010882509044","0,461198449928086","0,340801585215588","0,332693460708838","0,315879818839984","0,318406498695615","0,360140671273904","0,369874257870351","0,455595154100766","0,297394389330852","0,378692939038725","0,266389189871066","0,256537941920021","0,289807478336124","0,322209511650427","0,440821202692707",11,CR
0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,236965425565991","0,335655743328828","0,195775724497801","0,318126958048351","0,097411056172748","0,427474646747183","0,254170619291268","0,257495905552916","0,620542408279875","0,619142098013177","0,433388812410175","0,308807154929662","0,313860367569666","0,62474150698912","0,320319307582436","0,211982091081012","0,414887663001801","0,495834905971828","0,305832217825906","0,323933364411404","0,699153930543672","0,411060084129389","0,326717513855976",13,CR
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,257811531398761","0,249970400320519","0,250212780777545","0,486314762698349","0,375022166782867","0,314626987928458","0,152102106744272","0,296108365027464","0,280551076086673","0,322263855539351","0,344298963803891","0,289209805164516","0,235469991416261","0,293095428122729","0,258938584830015","0,423332240049388","0,316977609328071","0,26122462622578","0,389232045505313","0,31893825495331","0,326321095713811","0,300095317852068","0,204297230628775",14,CR
