mapping,frequency,inclusive,exclusive
PTK2<-ITGB3,1.0,,
SRC<-SPP1,1.0,,
SMAD4<-!SMAD6,1.0,,
MAPK14<-PTK2,1.0,,
FOXO3<-STK11,1.0,,
JUNB<-MAPK14+MAPK9,1.0,,
LEF1<-SMAD4,1.0,,
STAT3<-SRC,1.0,,
PIK3CA<-PTK2,1.0,,
MAPK1<-EGFR+MYC,1.0,,
MYC<-STAT3,1.0,,
MYC<-!ERBB3+LEF1,1.0,,
MAPK9<-MAP2K1,1.0,,
ERBB3<-CBL,1.0,,
IGF1R<-!CTNNB1,1.0,,
EGFR<-PIK3CA,1.0,,
CCNB1<-FOXO3+!TP53,1.0,,
CTNNB1<-LEF1,1.0,,
TP53<-MAPK14,1.0,,
TP53<-MAPK9,1.0,,
ITGB3<-VASP,1.0,,
MAP2K1<-IGF1R,1.0,,
CBL<-EGFR,1.0,,
MAPT<-MAPK1,1.0,,
