mapping,frequency,inclusive,exclusive
PTK2<-SRC,0.153846153846,,
PTK2<-EGFR,0.153846153846,,
PTK2<-ITGB3,0.615384615385,,
PTK2<-!PTEN,0.230769230769,SRC<-CTNNB1+ITGB3;MAPK1<-EGFR+MAPK14;PTK2<-SPP1,TP53<-MAPK14
PTK2<-SPP1,0.230769230769,SRC<-CTNNB1+ITGB3;MAPK1<-EGFR+MAPK14;PTK2<-!PTEN,TP53<-MAPK14
PTK2<-SPP1+SRC,0.153846153846,PIK3CA<-SRC;PTK2<-ITGB3+!PTEN,
PTK2<-ITGB3+!PTEN,0.153846153846,PTK2<-SPP1+SRC;PIK3CA<-SRC,
SRC<-CTNNB1,0.615384615385,ERBB3<-MYC;CTNNB1<-!ERBB3;MYC<-LEF1;PIK3CA<-SPP1;MAP2K1<-EGFR,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1
SRC<-SPP1,0.153846153846,MYC<-!ERBB3+LEF1;PIK3CA<-PTK2;STAT3<-SRC;MYC<-STAT3,
SRC<-CTNNB1+ITGB3,0.230769230769,MAPK1<-EGFR+MAPK14;PTK2<-SPP1;PTK2<-!PTEN,TP53<-MAPK14
SMAD4<-!SMAD6,1.0,,
HIF1A<-!ERBB3,0.153846153846,TP53<-!BCL2;PTEN<-TP53,
MAPK14<-PTK2,1.0,,
FOXO3<-STK11,0.769230769231,,
FOXO3<-!CTNNB1+STK11,0.153846153846,,
FOXO3<-MAPK14+STK11,0.0769230769231,PIK3CA<-IGF1R;TP53<-MAPK1;PIK3CA<-ERBB3,
JUNB<-MAPK9,0.461538461538,PRKCA<-MTOR;MAPK1<-MYC+PRKCA;MTOR<-PIK3CA;BRAF<-PRKCA;MAPK9<-BRAF+MAP2K1,MAPK9<-MAP2K1;JUNB<-MAPK14+MAPK9
JUNB<-MAPK14+MAPK9,0.538461538462,MAPK9<-MAP2K1,MAPK1<-MYC+PRKCA;MAPK9<-BRAF+MAP2K1;JUNB<-MAPK9;MTOR<-PIK3CA;PRKCA<-MTOR;BRAF<-PRKCA
LEF1<-SMAD4,1.0,,
STAT3<-SRC,0.153846153846,MYC<-!ERBB3+LEF1;PIK3CA<-PTK2;SRC<-SPP1;MYC<-STAT3,
PIK3CA<-ERBB3,0.0769230769231,PIK3CA<-IGF1R;TP53<-MAPK1;FOXO3<-MAPK14+STK11,
PIK3CA<-IGF1R,0.0769230769231,TP53<-MAPK1;PIK3CA<-ERBB3;FOXO3<-MAPK14+STK11,
PIK3CA<-PTK2,0.153846153846,MYC<-!ERBB3+LEF1;STAT3<-SRC;SRC<-SPP1;MYC<-STAT3,
PIK3CA<-SRC,0.153846153846,PTK2<-SPP1+SRC;PTK2<-ITGB3+!PTEN,
PIK3CA<-SPP1,0.615384615385,ERBB3<-MYC;CTNNB1<-!ERBB3;SRC<-CTNNB1;MYC<-LEF1;MAP2K1<-EGFR,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1
MAPK1<-MYC+PRKCA,0.461538461538,PRKCA<-MTOR;MAPK9<-BRAF+MAP2K1;MTOR<-PIK3CA;BRAF<-PRKCA;JUNB<-MAPK9,MAPK9<-MAP2K1;JUNB<-MAPK14+MAPK9
MAPK1<-EGFR+MAPK14,0.230769230769,SRC<-CTNNB1+ITGB3;PTK2<-SPP1;PTK2<-!PTEN,TP53<-MAPK14
MAPK1<-EGFR+MYC,0.384615384615,,
MAPK1<-MAPK14+MYC,0.0769230769231,,
MAPK1<-MAP2K1+MYC,0.307692307692,,
MYC<-STAT3,0.153846153846,PIK3CA<-PTK2;STAT3<-SRC;SRC<-SPP1;MYC<-!ERBB3+LEF1,
MYC<-LEF1,0.615384615385,ERBB3<-MYC;CTNNB1<-!ERBB3;SRC<-CTNNB1;PIK3CA<-SPP1;MAP2K1<-EGFR,CBL<-EGFR;CTNNB1<-LEF1;ERBB3<-CBL;MAP2K1<-IGF1R;IGF1R<-!CTNNB1
MYC<-!ERBB3+LEF1,0.153846153846,PIK3CA<-PTK2;STAT3<-SRC;SRC<-SPP1;MYC<-STAT3,
