mapping,frequency,inclusive,exclusive
PTK2<-SPP1,1.0,,
SRC<-ITGB3,1.0,,
SMAD4<-SMAD3,1.0,,
GAPDH<-HIF1A,1.0,,
HIF1A<-PIK3CA+STAT3,1.0,,
SMAD3<-!YAP1,1.0,,
MAPK14<-PTK2,1.0,,
AKT1<-!MAPK14+RELA,1.0,,
LEF1<-SMAD4,1.0,,
STAT3<-SRC,1.0,,
STAT1<-!SOCS2,1.0,,
PIK3CA<-!PTEN,1.0,,
RPS6<-RPS6KB1,1.0,,
MAPK1<-MYC,1.0,,
MYC<-!ERBB3+STAT3,1.0,,
ERBB3<-CBL,1.0,,
IGF1R<-!CTNNB1,1.0,,
PRKCA<-MAPK1,1.0,,
EGFR<-SRC,1.0,,
CREB1<-AKT1,1.0,,
MTOR<-PRKCA,1.0,,
RELA<-TP53,1.0,,
CTNNB1<-LEF1,1.0,,
TP53<-MAPK14,1.0,,
TP53<-!BCL2,1.0,,
SOCS2<-STAT3,1.0,,
ITGB3<-VASP,1.0,,
MAP2K1<-IGF1R,1.0,,
MAP2K1<-EGFR,1.0,,
CBL<-EGFR,1.0,,
PTEN<-TP53,1.0,,
ARC<-CREB1,1.0,,
RPS6KB1<-MTOR,1.0,,
BCL2<-CTNNB1+STAT3,1.0,,
BCL2<-MAP2K1+STAT1,1.0,,
